p1_good	p2_good	p3_good	p4_good	p5_good	p6_good	p7_good	p8_good	p1_poor	p2_poor	p3_poor	p4_poor	p5_poor	p6_poor	p7_poor	p8_poor
202941_at	2487.5	2967.6	2757.4	2462.4	3819.4	2797.8	3627.4	3481.1	2997	3297.6	4584.3	2622	2790.6	3856.7	2413.4	2126.2
202942_at	86	242.3	240.2	385.6	535.3	279.6	224.2	359.2	57.2	103.4	412.2	720.4	522.6	215.3	119.1	469.7
202943_s_at	360.2	339.3	480.6	573	611.4	640.2	459.4	366.1	708.4	1124.9	371.2	823.5	549.7	448.5	957.4	736.3
202944_at	273.8	404.9	390.9	484.3	254.4	387.5	548.6	351.2	42.7	251.9	208.8	448.4	237.1	373.8	403.3	537.3
202945_at	751.1	980.5	678.6	904.6	585.9	777.3	664.7	677.4	1017.1	568.8	634.6	1604.4	611.3	1076	1770.2	1170.3
202946_s_at	10	92.3	49.6	15.1	50.8	139.8	17	62.2	13.4	41.5	166	17.9	23.1	13.1	25.2	33.7
202947_s_at	615.8	351.3	592.3	1008.9	961.3	1078.2	173.1	964.1	2125.6	2167.5	1015.3	2830.4	1473.7	943	1317.5	1879.7
202948_at	57.3	76.4	23.1	5	9.5	106.4	79.1	8.6	67.4	49.3	74.2	50.2	65.3	47.9	75.2	24.2
202949_s_at	18.8	40.1	137.7	17.4	49.1	75.1	46.1	66.5	29.6	92.6	15.1	46.6	88	18.2	247.2	173.5
202950_at	785.8	2027.4	1854.4	1919.3	2434.4	2343.9	1791.9	1392.4	412.2	804	3335.8	2353.3	3703.8	4034.2	1474.9	1527.2
202951_at	1954.9	3041.6	3954.4	2909	4573.5	3648.2	2621.3	5002.7	579.1	1174.8	6142.9	2581.6	2592.6	3264.9	2207	2904.2
202952_s_at	88	59.9	97.2	41.2	21.4	116.8	115.5	26.6	122.8	320.3	144.5	151.5	77.3	75.9	190.7	29.6
202953_at	80.5	159.8	12.3	52.7	21.5	65.9	87.3	145.1	109.2	369.1	109.4	284.2	25.4	6.2	55.3	175
202954_at	317.6	317.4	229	262.7	340.6	518.3	509.4	369	407.8	1062.1	376.8	496.5	273.4	252.2	689.6	535.2
202955_s_at	1678.3	1333	1329.4	1270.4	1486.8	1627.8	1821.9	1691.3	1546.5	1628.2	1552.2	1072.3	1638.6	1816.6	1192.2	1744
202956_at	2413.6	3075.2	2909.3	1925.1	2416.1	2932.2	2395.5	3251	1786	1509.2	2779.3	1278.7	2804.3	3397.3	1483.4	1710.1
202957_at	7483.9	10325.5	7613.6	12249.6	10759.9	9010.4	7668.7	7387.6	7127.7	7380.8	10529.2	11258.3	7966.4	10457.3	9740.6	11652.7
202958_at	367.6	669.3	400.4	551.2	461.2	664.6	398.4	350	607	763.9	493.2	600.3	869.7	618.7	562.5	917.6
202959_at	303.6	537.7	548.2	413.1	394.2	389.5	555.6	395.9	490	562.3	487.8	472.1	659.9	517.2	533.8	555.2
202960_s_at	765.6	603.6	1364.1	820	594.8	1089	778	1091.2	679.6	504.7	803.7	973	1715.3	1074.1	751.6	971.8
202961_s_at	3346.6	6373.7	3568.2	5278.1	6016.4	5318.6	5007.2	4168.4	2573.7	2198.6	6418.7	4472.4	5482.3	5849.2	3929.3	4795
202962_at	652	1222.4	787.1	653.2	802.5	644	965.5	949.8	1136.5	1018.2	947.7	713.5	655.8	935.7	1145.2	1147.4
202963_at	3628.1	4146	7369.1	4943.9	4367.2	4005.8	3116.6	6477.5	3112.9	2229.1	4629	3666.3	4648.3	5475.5	2509.7	2655.7
202964_s_at	1133.1	1006.8	1568.5	1222.8	1345.9	1796.8	1331.9	1912	1497.3	1905	1326.6	2002.4	1531.2	2217.9	1838	2048.5
202965_s_at	13.3	27.4	13	11.1	55.3	34.3	20.7	61.3	30.7	82.2	12.4	22.6	23.8	15.8	28.8	30.8
202966_at	73.8	15.9	61.3	69.4	86.2	102	137.7	79.3	36	381.3	13.3	115.7	21.4	130.6	44.3	43.4
202967_at	977.5	864.8	617.5	303.3	793.9	611	682.4	492.1	679.7	1297.5	464	579.1	496.3	377.5	1214.9	608
202968_s_at	619.3	2276.8	805	688	804.7	1141.1	750	803.7	601	659	492.3	641.2	278.9	600.5	792.1	886.8
202969_at	909.9	2395.5	1040.8	1178.6	1518.7	1093.2	1115.9	1186.3	311.1	590.9	928.2	553.4	544.6	1437.1	660	532.8
202970_at	338	799.9	598.7	488.3	381.2	478.2	797.8	492.4	221.5	834.9	386.7	398.3	350.4	515.3	561.2	277.8
202971_s_at	1030.4	2398.3	1154.9	824.2	719.2	1008.5	878.4	685.8	772.9	975.3	416.2	450	585.4	627.5	1001.7	1061.9
202972_s_at	413.6	282.5	296.1	237.9	318	367.8	342	347.4	356.7	636.3	218.6	358.7	332.2	191	752.1	407.9
202973_x_at	85.3	153.4	170.7	103.2	170.8	144.4	52.5	11.4	272.1	508.8	106.8	278.3	177.2	133.8	285.2	383.4
202974_at	313.7	182.1	311.6	264.1	402.1	318.9	260.2	716.3	604.4	543.1	392.4	294	459.3	323	178.3	254.1
202975_s_at	136.5	152.4	24.4	92	202.4	159.8	142.7	198.1	291.3	127.3	55.2	127.7	155.4	139.2	297.8	288.5
202976_s_at	15.6	10	90.6	72.4	111.7	58	63.7	90.5	56	255.4	14.4	222.1	31.5	9	98.7	89.7
202977_s_at	126.4	200.7	39.5	186.6	113.3	244.6	227.6	87.8	57.9	461.5	119.2	178.3	41.2	184.3	247.9	255.4
202978_s_at	3022.2	2770.3	2769.9	2368	2488.9	2533.8	2653.6	3672	1443.3	1837.6	1652.6	1927.4	2275.4	2637.1	2279.5	1983.4
202979_s_at	1284.3	1432.1	2390.5	1852.8	1709.9	1381.8	1840.7	1376.3	527.2	802.5	1088.6	1005.2	2037.3	2021.7	1763.4	1527.8
202980_s_at	1292.1	826.1	992	599.4	566.6	724.5	983.6	1744.5	837	1460.3	1168.5	960.7	1573.2	895.4	705.4	569
202981_x_at	6019.5	3025.1	5040.4	2823.1	2660.6	2877.1	4840.4	4396.2	2988.3	6321.3	4487.1	5467.4	6850.2	4907.5	3682.8	3544.9
202982_s_at	691.4	314.1	128	374.4	420.2	359.1	284.2	341.5	520.2	678.4	698	599.6	523.3	753.6	408.6	438
202983_at	1023.9	1650.9	2245.9	2187.8	2156.7	2076.6	1901.7	2492.1	210.5	409.9	1582.8	1045.5	1460	2850.1	825.7	890.5
202984_s_at	1636.1	853.5	1219.7	1123	558.8	855.1	726.7	545.8	2062.2	1019.4	521.9	764	733.3	532.5	888.9	580.5
202985_s_at	5782.9	3429.4	4046.3	3860.4	4467.8	2939.6	3070.1	3547.3	6199.1	2656.5	3162	3588	3548.6	4952.5	2835.5	3133.1
202986_at	23.7	61.6	30.8	17.4	26.1	36.9	32.6	35.5	33	339.3	26	19.7	36.5	25.8	58.9	44.3
202987_at	144.7	130.3	85.3	41.7	124.5	126.5	26.6	154	16.2	178	91.3	64.1	119.3	130.6	92.8	153.4
202988_s_at	171	134.9	65.3	7.9	116.2	34.9	242.9	14.4	2621.7	722.2	219.1	2851.8	68.9	2.3	19.2	9.9
202989_at	57.3	55.9	5.1	3.8	7.3	13.4	9	57.1	182.8	15.1	15.2	176.1	46.7	3.8	12.9	3.8
202990_at	147.5	299.4	95.7	119.9	193.6	258	129	131	228.3	453.1	59.2	213.8	160.9	87.6	246.9	138
202991_at	299.4	431.8	326.5	250	337.8	508.3	151.6	32	507.9	567.4	364.1	492.9	296.5	348.6	589.1	642.4
202992_at	98.9	93.4	43.6	32.4	90.1	43.7	7.9	56.9	43.8	169.4	95.8	31.4	5.5	10.6	131.7	36.3
202993_at	228.1	221.5	129.9	206	287.7	324.2	213.7	70.4	481.7	422	158	489.2	158	284.3	441.1	366.7
202994_s_at	24.3	34.7	20.9	15.7	22.1	48.3	28.4	34.9	28.6	59.5	12.4	15	14.6	20.8	17.6	22.6
202995_s_at	97.7	224.2	168.8	118.7	121.7	147.8	49.3	140.7	245.4	401.5	67.2	202.6	154.4	85.5	405.2	253
202996_at	401.6	1512.2	598.7	1845.9	987.9	1121.3	748.5	921.1	625.7	1293.4	1921.2	3080.8	1188.7	1573.2	2209.7	2516.2
202997_s_at	17.6	19.8	9.5	8.8	15.4	15.4	17.5	20.4	28.1	107.7	17	33.5	11.4	17.9	24.6	20.6
202998_s_at	211.5	126	264.2	241.9	153.3	268.8	192	178	475.5	481.6	473.8	302.5	157	251.5	509.4	583.7
202999_s_at	41.1	214.7	22.3	21.1	32.6	94.6	30.7	169.7	67.2	226	85.6	204.1	38.3	23.2	136.3	85.3
203000_at	5.2	10.1	12	5.8	9.9	8.7	10.2	35.3	14.4	94.7	6.4	14.8	13.3	11.9	44.3	12.4
203001_s_at	56.8	25.2	74.7	10.4	23.5	9.4	107.2	126.7	21.8	399.1	11.1	43.4	10.5	46.6	140.7	29
203002_at	107	56.1	166.8	142.5	93.8	95.2	151.2	26.4	403.6	320.8	108	341.8	167.5	100.9	124.6	258.7
203003_at	251.1	72.7	78.5	86.9	51.8	154.8	54.2	123.7	661.2	705.6	177.3	99.5	81.4	134	226.3	257.7
203004_s_at	307.2	193.5	29	196.6	93.7	197.1	49.6	106.6	455.3	94	146.8	214	124.5	147	303.7	485.8
203005_at	66.1	74.1	193.3	16.9	42	199.6	26.2	30.3	318.7	212.2	20.4	371.6	179.6	154.3	424.5	334.6
203006_at	1274.6	927.2	867.5	959.7	1091.4	781.2	911.4	1388.5	1466.3	1256.5	666.2	883.6	829.7	675.9	711	703.5
203007_x_at	4103.2	3773.2	4566.3	4008.9	3430.4	4530.9	4194.2	3393.9	3872.8	2438.1	4504.4	3431	4889.9	3355.3	3402.2	3186.5
203008_x_at	1024.6	2008.8	2900.7	1771.1	1822.3	2014.1	1192.2	1850.3	1312.6	1180.9	2798.5	1897	3071.9	2609.8	1874.8	2551.2
203009_at	21.7	38.5	25.9	50.9	34.7	41.4	27.2	27.9	56.2	74.1	27.9	81.4	31	31.9	101.4	248.3
203010_at	1287.9	1166.1	1153.3	1376.4	1275.8	1058.7	1041	1282.6	1072.1	1995.2	720.7	1020.9	1150	1080.5	1486.4	1467.3
203011_at	4503.1	3240.6	4611.4	2056.9	3558.3	2514	2696	3474.7	2267.8	2485.4	4928.6	1280.5	2502	4574.7	1184	2139.1
203012_x_at	73250.4	70974.4	58692.7	67695.9	102137.5	82372.9	86219.1	112840.7	81266.4	84026.6	77421.4	98868.8	46030.3	59096.9	67802.6	88166.4
203013_at	1451.1	589.7	950.7	653.1	775	613.9	734.2	744.3	1288.1	1248.6	773.6	523.6	858.3	1066.5	705.5	648.3
203014_x_at	542.6	693.6	646.7	714.4	764.6	856.5	789.1	772.2	856.3	815.7	448.6	894.5	508	671.9	1351.4	1145.3
203015_s_at	209.2	363.3	205.7	154.3	178.5	209.5	262.3	265.4	412.4	431.7	235.8	222.7	182.9	208.1	243.7	278.6
203016_s_at	321.2	659	508.6	143.5	359.2	290.8	308.1	309.6	108.9	109.3	320.5	269.3	279.9	413.4	456	429
203017_s_at	127.4	432.7	302.8	117	177.9	120.6	201.6	6.4	113.8	153.1	148.7	81.1	100.4	164.8	280.9	229.8
203018_s_at	90.6	38.6	130.4	11.1	27.7	49.1	38.5	94.1	124.5	89.6	35.4	170.8	81	87.3	37.1	142.2
203019_x_at	81.8	266.8	294.5	129.7	159.6	59.2	158.8	25.8	185.4	520	181	237.7	174.7	154.3	311.2	272.6
203020_at	3186	4122.7	6042.2	2874.3	2149.8	4263.4	5276.9	5028.7	2772.5	4754.4	4044	3368.8	5551.9	3080.9	4500.7	3522.2
203021_at	245.2	397.1	251.6	265.2	236.1	171.7	133.2	368	124.4	716.1	20.8	392.8	242.2	132.7	649.8	401
203022_at	230.9	377	218.2	260.2	383.8	409.5	458.6	299.6	340.1	752	435.3	820.9	394.5	364.9	613.4	613.3
203023_at	202.9	283.2	137.1	190.8	104.9	135.5	158.4	121	297.3	114.9	297.9	287.9	215.6	312.2	231.7	331.3
203024_s_at	2186.2	3286.6	3544.4	1769.6	1530.2	1727.8	2014.2	2163	1584.9	1786.6	2379.7	1468	3742.8	2948.5	1788.9	1865.2
203025_at	444.7	891.2	405.9	682.8	670.1	544.3	432	703.5	708.9	1251.9	805.4	1353.1	546.8	694.1	1222	1155.5
203026_at	2384.3	1435	1487.5	1638.7	1551	1871.8	1560.6	1098.3	3041.2	2483.3	1148.4	1653	1752.9	2174.4	1817.9	2228.3
203027_s_at	55.5	172.9	9.6	14.6	102.4	24.7	17.5	21.7	21	54.5	112.7	419.6	13.6	239.9	160.3	300.7
203028_s_at	2909.4	5919.2	1336.1	6748.5	5584.1	3449.1	2981.6	3648.7	1863.6	2571.5	4442.6	12394.4	4023.4	3581.2	7967.9	8204.5
203029_s_at	13.4	22.6	12.9	32.8	27.2	17	30.8	20.6	33.4	51.8	51.1	304.8	245.9	12.8	73.8	307.3
203030_s_at	7.9	12.1	7.6	6.4	5.8	9.2	8.7	13.4	14.7	51.6	6.5	17.4	13.8	5.7	18.1	19
203031_s_at	378.5	485.5	389.8	648.9	577.6	659.8	621.1	474.4	487	522.5	578	907.6	640.8	410	988	911.4
203032_s_at	72.3	160.8	131.6	232.3	153.4	134	118.5	125.4	19.3	408.7	179.9	264.5	178.6	183.1	183.2	181.3
203033_x_at	564.8	1576.5	972.3	768.9	1568	1139.9	864.5	1820.9	680.3	741.3	1015.1	1141.7	890	1088.1	1037.8	1158.9
203034_s_at	75125.9	74843.8	69884.6	69837.4	94458.4	90196.7	85282.6	96369.9	79437.9	79425.8	75660.6	91110.5	54016.7	64341.2	66807.5	70969.2
203035_s_at	638.6	617.9	580.5	517	413.7	621.7	572.9	891.9	540.2	782.7	478.3	531.2	547.8	478.9	540.5	633.5
203036_s_at	1737.1	945.2	386	754.9	1187.5	649.1	394.7	1074.5	739.5	161.5	288.7	31.3	63.3	336.6	145.7	95.8
203037_s_at	11286.1	22606	14293.5	13287.4	18622.7	16628.2	12946.8	22723.9	3977.7	3558	6861.9	7937.4	6852.2	7061.6	10605.6	5173.1
203038_at	108.9	2527.4	70.3	17.2	210.8	128.2	179.1	530.1	529.5	410.7	310.6	129.3	142.7	37.8	293.1	1060.7
203039_s_at	1082.4	742.8	930.4	906	1092.7	650.8	875.6	754.8	1267.8	632.1	985.2	735.4	1158.9	780.2	505.9	584.1
203040_s_at	328	890.9	357.4	495.6	550.2	714.1	639.2	647.5	545.5	941	622.3	807.5	427.1	613.5	825.4	772.7
203041_s_at	402.3	476	467.3	633	664.1	347.5	514.9	514.5	467.6	483.4	808.8	360.6	714.8	551.9	364	403.1
203042_at	258	214.9	339	394.4	339.7	252.3	371.3	271.4	188.6	80	376.7	210.5	441	279.6	126	161.9
203043_at	1304.7	1785.8	1707.8	864	1027.1	937.3	974.5	934	1244.5	1123.5	1219.1	1283.3	1636.3	2120.2	1729.2	1523.4
203044_at	1133.6	1445.5	1744.7	1518.7	1495.2	1511.3	1337.8	1579.8	724.1	511.4	1508.6	787.8	1773.9	1042.6	838	856.1
203045_at	152.5	50.5	28.1	29.3	46.6	31.4	13.1	80.1	370.9	392.8	10.1	159.9	14.8	34.4	22	47.2
203046_s_at	878.4	1911.4	1095.9	1396.4	1655.5	1104.3	1048.1	1675.6	854.8	1308.7	1039.5	1237.6	1201.1	1250.6	1302.2	716.6
203047_at	2229.4	2938	1303.7	2105.1	2219.9	2279.9	2356	2385.4	2174.7	3572.7	2088.9	2446.7	2243.5	2581.2	2467.6	3267.9
203048_s_at	1938.7	1684.2	2182.9	2232	1943.3	1919.5	2250.8	1991.7	1642	1296.7	1799.7	1273.1	2258.6	1642.8	1482.8	1548
203049_s_at	1446.6	797.8	2044.7	1963.7	893.3	1136.6	1526.7	1015.8	1373.3	605.7	1355.7	1046.9	2382.2	1598.2	1144.6	1134.7
203050_at	1139.6	1805.1	1255.7	1044	1555	1188.8	886	1151.8	1444.2	838.9	908.6	1154.3	1226	1351.1	718.7	1502.6
203051_at	842.4	1035.1	663.2	605.2	713.7	808.7	650.5	795.2	1038.4	1302	547	691.3	494.2	826.9	1286.2	920.8
203052_at	242.9	204.3	202	106.2	199.1	346.6	384.4	293.1	225	703.8	185.4	330.6	164.3	198.1	340.6	339.8
203053_at	4396.5	1605.9	2135.5	2039.4	2798.1	1644	2085.9	2069.8	3539.8	1867.9	2789.7	1818.3	2275.9	2064.7	1397.9	1774.2
203054_s_at	837.6	1204.7	1026	1043.7	1045	1284.3	896.6	968.1	1057.9	1552.7	848.8	2911.3	868.4	903.3	1965.6	1078.7
203055_s_at	860.3	1010.7	505.9	922.6	1124.4	1075.7	892.9	911.8	1904.4	4115.6	849.9	1796.7	721.8	796	2525.5	3747.3
203056_s_at	5025.8	2453.3	2592.9	3365.7	2997.8	3879.9	4212.2	3184.6	11904.7	6889.6	2372.3	2055.5	1727	2847.4	3085.8	2275
203057_s_at	14926.9	7619.9	11021.9	11971.3	7216.5	8614.7	13036.1	7281.1	14874	10866.2	7646.8	7311.8	5583	7344.5	8986.3	4102.1
203058_s_at	76.9	130	38.8	64.2	125.6	202.3	154.6	144.6	243.7	157.5	126.4	152.8	123.2	46.7	292	296.9
203059_s_at	171.7	361	258.9	227.8	186.7	375.9	239.7	183.8	333.4	797.9	283.5	213.2	268	193.6	459.6	343.7
203060_s_at	97.7	93.9	36.2	118.5	101.1	152.2	133	8.7	202.7	110.6	62.5	22.1	79.4	44	142.7	187.1
203061_s_at	149.2	150.1	18.7	46.7	448.9	51.6	46.2	407.1	32.7	85.9	154.8	88.3	135.2	249.9	109.1	318.8
203062_s_at	1516.4	1246.3	1799.2	1172.2	1112.6	1275.7	1365	1311.6	1308.5	1567.9	1030.2	1392.3	1565.3	1328.4	1855.2	1400.9
203063_at	328.3	356.9	400.5	607.7	393	339.5	572.7	550.6	108.5	155.5	214.9	482.2	2123.8	491.8	552.3	597.2
203064_s_at	603.7	383.2	243.2	170.2	553	468.9	472.2	463.1	609.2	948	293.2	563	278	279.3	595.2	674.3
203065_s_at	66.3	32.6	30.6	25.5	136.2	76.4	35.1	97.4	323.8	177	39	624.1	87.3	1782.6	66	98.6
203066_at	2513.7	4461.7	5691.6	5670.3	4234.2	6538.5	6442	6069.5	2384.8	2542.4	1240.1	6965.4	4821.2	7220.5	3550.9	6300.8
203067_at	1158.7	945.9	1267.9	1118.5	1239.1	660	1327.3	636.9	467.1	636	593.3	1052	860.6	639	1014.9	649.7
203068_at	298.4	429	503.2	389.7	520.3	198	274.4	601.8	35.5	93.3	601.5	1273.4	567.6	7240.2	55.5	341.3
203069_at	30	99.3	28.1	29.6	34.9	15.7	33.2	148.2	54.6	532.7	21.5	85.3	30.3	75.4	67.2	55.1
203070_at	25.1	35.9	34.3	19.9	27.7	106.5	25.1	78.8	58.9	69.6	28.8	68.4	31.7	18.6	127.4	77.8
203071_at	10.9	34	17.3	17.5	28.4	43.9	42.9	126	52.2	185.3	25	53.7	15.6	18.4	56.5	26.7
203072_at	291.6	715.3	360.6	598.3	700.9	428.6	588.1	990.4	771.6	678.8	461.7	441.1	628.9	922.5	493.2	659.4
203073_at	1464.7	1759	2027.1	1885.7	2013.1	1634.6	1585.1	1928.9	1238.5	1777.7	1778.5	1397.8	1885.8	1923.2	1859	1925.6
203074_at	450.8	511.6	414	386.5	485	583	584.7	309.5	664.7	635	445	607	432.4	292.8	929.5	940.5
203075_at	3124.5	1501.7	4024.3	3543.7	2606.9	3095.2	3321.2	3395.7	2171.1	1738.5	3575.7	3173.9	3259.5	2681.6	2047.6	2104.6
203076_s_at	3299.4	2608.6	3458.9	3276.9	4634.6	3988.4	3595	3767.3	2778.7	3202.3	4978.1	3156.9	3617.1	2881.2	2937.3	3397
203077_s_at	1217.9	943.3	1887.7	1340.4	1554.3	1317.1	1469.1	1404.8	916	944.2	1669.8	1315.6	1716.8	1192	1006	1194.8
203078_at	810.6	254	799.7	626	293	664.1	799	291.1	407.2	218.5	323.7	436.3	489.4	367.2	408	178.7
203079_s_at	1903.2	1430.2	1431.6	1071.4	1454.2	1257.4	936.4	1445.8	1155.9	1147.3	1680.9	793.4	1415.9	1770.9	1019.4	1083
203080_s_at	734.1	772.2	849.9	736.7	470.9	840.6	1088.6	479.8	343.4	624.2	878.5	924.8	1026	1921.1	375.9	576.9
203081_at	181.4	33.4	82.7	123.2	232.5	229.6	63.7	52.9	403.6	120.9	187.5	260.3	122.8	93.3	440.3	128.1
203082_at	2554.3	2173.4	2006.4	1586	2407.2	1815.3	1867.4	2599.6	1636.8	2079.1	2451.9	1700.9	1839.5	2464.7	1660.9	1102.2
203083_at	19.2	419.6	55.1	189.8	22.7	20.7	33.2	166.8	285.8	351.5	114.3	50.1	129.7	46.6	343.5	238.9
203084_at	367.9	187.6	26.6	41.2	216.3	131	100.8	322	29.4	307.8	38.1	17.3	46.5	131.2	34.8	40.6
203085_s_at	1284.4	1552.9	782.5	1130.9	1046.6	977.2	758	711.1	3337	2976.2	899.4	1474	744.5	778.2	3472	2767.9
203086_at	1003.4	645.9	945.5	1107.3	803.1	850.9	951.8	664.4	538.6	329.3	703.4	693.5	740.2	724.5	638.4	589.3
203087_s_at	1662.2	2114.7	2499.6	2620	1846.9	1927.5	2119.4	1798.7	1092.9	1287.4	1783.6	1280.1	1892	2186.2	1308.7	1437.4
203088_at	50.7	52.6	213.9	38.7	49.4	20	47.9	55.4	171.5	49.7	43.7	217.1	22.6	44.2	72.3	130.1
203089_s_at	604.7	999.5	801.4	900.6	903.8	898	599.6	980.7	855.9	733.8	940	953.6	1293.3	1055.4	696	1247.7
203090_at	644	918.3	719.6	600.3	769.4	812.9	513.3	718.2	779.2	1040.9	1056.1	838.4	1125.8	1428.6	882.4	1427
203091_at	1740	2340.1	1975.2	1958.9	2238.7	2467.3	2367.3	2382.2	1696.3	2205.9	2237.7	2082.7	2000	3267	2273.9	2573.5
203092_at	332.5	345.6	206.9	282.1	253.3	462.1	345.3	380.7	370.7	58	397.4	238.5	322	285.5	41.7	67.8
203093_s_at	394.5	390.8	235.1	319.3	353.4	366.3	298.7	103.9	478	1089.7	272.6	567.6	278.5	315.5	505.2	657.4
203094_at	877.1	670.6	455	604.4	387.5	515.8	608.1	530.2	1021.5	1170.4	445.9	999.9	721	1249.3	690.8	527.7
203095_at	2150	2303.9	2983.8	2414.7	2741.7	2522.4	3060	3179.5	1398.1	1274.2	2417.9	1972.9	2341.8	2399.7	1529.9	1748.5
203096_s_at	1792.6	565.5	491.6	718.3	894.8	647.7	514.2	714	4211.6	2044.9	600.6	698.9	455.4	712.6	1273.4	1039.6
203097_s_at	10330.9	2816	2974.2	3806.1	3479.1	2837.2	3134.8	3696.8	12011.9	6782.7	3057.3	2922.9	2322.6	4853.7	3182.3	2588.9
203098_at	110.2	1035.3	720.8	603.5	823.3	377.2	769.7	814.4	151.5	150.9	827.2	373.1	726.2	1253.6	146.5	654.4
203099_s_at	537.5	292.2	176.7	358.2	258	137.4	133.9	419.3	101.7	106.9	234.1	85	75	463.8	63.4	75.6
203100_s_at	393.4	708.8	471.7	462.9	475.1	470.1	535.7	549.4	243.3	400.2	643.6	279	695.3	792.1	187.6	493.2
203101_s_at	91.6	54.2	29.6	18.5	60.8	26	28.8	142.8	47.6	221.8	154.9	19.8	18.4	133.3	26.9	22
203102_s_at	1510.9	1855.9	3443.1	1594.2	2187.8	1863.1	1666.8	1781.8	873.1	445	3452.4	1232.5	2711.1	4510.5	775.3	1621.8
203103_s_at	1146	1866.9	1220.2	1837.7	2018	2345.1	1071.7	2407.9	1085.9	1487.4	1281.6	1735.8	1468.2	2091.3	1618.2	2140.5
203104_at	107.5	149.5	160.9	155.7	142.7	78.1	239.1	207	284.3	282.7	82.2	408.2	168.5	120.3	277.7	239.4
203105_s_at	790.5	1099.4	837.5	698.3	922.9	1011.5	954.6	1300.2	335	793.2	907.3	682.9	710	1079.4	480.3	474
203106_s_at	353.1	284.6	433.3	207.5	221.8	229.9	210.3	222.7	363.2	311.7	242	230.8	548	237.9	361.3	227.5
203107_x_at	68295	71246.6	50250.6	66567.9	92416.9	82946.2	75794.7	98667.2	85027	83444.2	77925.3	95686.3	45846.2	67019.4	61958.7	76154.1
203108_at	24.8	32.3	37.9	11.9	28.4	61.4	41.3	17.3	60.9	126.6	30.5	62.9	38.4	22	76.9	59
203109_at	455.7	917	374.5	883.2	851.2	811.4	452.9	735.9	1195.9	780.9	753.2	1339.2	688.1	736.6	1409.6	1605.7
203110_at	1588.2	2529.3	1478.2	2188.1	2771.1	2339.9	1381.1	2378.2	1215.5	2934.4	2324.9	1845.9	1868.2	1513.2	2622.6	2392.5
203111_s_at	399.8	704.4	326	757	945.4	706.3	301.8	1044	243.9	662.4	754.8	901.9	489.1	609.3	784	1027.2
203112_s_at	594.7	716.9	539.4	534	639	642.1	656.5	843.9	738.8	1341.3	707.9	619.2	617.7	845.4	999.4	674.4
203113_s_at	35229.9	36179	17850.3	27314.1	29449.6	21289.5	23785.8	27868	38169.6	23689	21639.9	29400.6	17129.3	23183.5	20865.4	25078.7
203114_at	390.8	192.7	301.5	181.3	194.7	73.4	57.4	361.7	390	92.4	164.7	524.8	428.5	360	385.6	293.3
203115_at	307.9	381.4	503.2	350.7	406.6	256.8	254.9	250.2	196	317.3	223.2	251.6	375.2	268.7	334.8	182.5
203116_s_at	563.8	681.6	525.2	608.9	620.7	651.6	549.1	636.7	831	1255.2	613	623.6	934.4	706.4	1072.2	874.2
203117_s_at	1262.5	3306.1	1257.6	1446.4	2092.6	1851.8	1659.6	2091.7	951.9	1340.1	1627.4	1336.6	1229.4	1606.4	1721.4	1645.1
203118_at	998.1	2272.9	423	727.1	1366.7	759.3	351.5	1135.1	1125.8	1684.3	1399.6	1016.1	653.9	524.5	962.9	1075.5
203119_at	693.1	643.2	456.9	542.2	566.3	664.6	487.4	631	750.6	955.4	356.6	814.5	536.6	640.4	909	615.3
203120_at	2514.6	916.8	1319.1	772.3	970.3	538.5	864.1	882.1	1734.2	975.5	630.2	659.5	709.2	1000	590.9	668.5
203122_at	518.3	633.4	731.6	721.5	1303.2	637.3	912.2	1270	75.5	47.1	694.7	1069.2	737.5	728.4	1463	1017.3
203123_s_at	1028.9	755.5	638.5	462.6	610.7	822.9	720.1	641	1237.1	943	487.2	867.2	498.7	463.9	1070.6	792.1
203124_s_at	1034.2	618.5	597.8	530.7	435.1	428	581.7	452.1	844.5	359.4	497.1	248.2	535.9	528.5	448.2	314.6
203125_x_at	842.3	677.8	307.2	532.4	597.4	496.7	450.8	578.4	794	290.6	521.5	1034.1	664.6	675.9	276.6	614.5
203126_at	72.7	52.6	153.7	113.8	166	151.3	213.1	21.3	29.3	171.8	51.5	267.1	13	92.1	44.3	28.7
203127_s_at	1486.5	2122.6	1697	1511.2	1406.8	1677.3	1486	1593.5	1650.9	1663.7	1839.9	1474.8	1575.4	1330.9	1711.6	1378.9
203128_at	306.3	611.5	672.7	413	517.6	333.5	552.1	251.7	42.3	95.9	970.8	194	609.3	781.1	508	662.3
203129_s_at	9.4	19.2	10.2	11.2	24.5	42.8	37.3	93.2	211.5	67.2	16.5	17.8	73.8	21.5	52.1	49.2
203130_s_at	68.6	396.8	379.8	172.2	372.6	773.1	310.9	1029.1	313	499	68	484.1	353.1	80	828.7	601.9
203131_at	12.9	73.1	14.2	4.2	65.2	13.6	17.1	8.1	38.2	130.8	15.8	94.1	8.8	36.7	21.5	23.5
203132_at	2244.8	3255.4	5052.8	4168.1	2587.2	2973.7	4227	2969.1	1656.4	1499.8	4106.8	2351.7	4477.1	2747.8	2552.8	1516.8
203133_at	4501.6	4468.1	3941.2	3937.9	3480.5	3588.3	4700.3	3067	7367.3	4360.8	5743.3	6397.9	4433.1	4370.6	3098.2	3749.7
