p1_good	p2_good	p3_good	p4_good	p5_good	p6_good	p7_good	p8_good	p1_poor	p2_poor	p3_poor	p4_poor	p5_poor	p6_poor	p7_poor	p8_poor
200020_at	4964	4504.4	4917	3066.6	4180.1	4574.3	3986.6	4749.2	2767.3	2736.5	4019.3	2631	3935.9	5673.8	2993.4	4004.3
200021_at	23151	34025.3	21516.5	22539.3	27512.9	37536.6	21958.2	34690.8	31125.1	31409.3	33980.2	33355.1	23002.9	21446.4	36922.6	31454
200022_at	50422	40330.4	28774.3	45154.1	48439	44117.1	42969.3	55391.2	55433.6	38248	40762.2	58564.7	30640.9	45766.5	33258.1	37266.8
200023_s_at	16327	14067.5	8020	11915.3	13360.9	10130.3	11995.4	12584.2	19249.2	11421.5	16060.4	14511.8	13447.6	13957.9	10627	14170
200024_at	44893.3	42328.3	29896.6	42478.5	49969.5	50802.8	52965.5	55258.7	40283.8	35407.6	36182	43592.2	28943.6	42053.3	36597.4	26444.6
200025_s_at	55759.9	57774.9	49543.3	57539.5	60800.8	65461.2	59799.1	62164.8	56017.3	42065.4	54172.5	58460.3	41078	49265.5	42655.8	39772.7
200026_at	67281.5	67661.5	63332.1	68827.5	94436.8	83523.4	88215.2	105961.3	69068	54139	74882.1	68906	47084.1	62033.5	41576.9	63918.1
200027_at	5682.9	5874.8	7980.5	6898.2	5802.4	5477.7	7266.8	6619.6	5367.1	3053.3	7016.8	4786.4	6368.8	7198.5	3727.1	5069.2
200028_s_at	8160.6	13923.6	16587.4	12322.4	19085.7	16889.9	16300.1	22324.1	6939.6	7824.6	15932.4	13140.4	14789.7	12794.2	12740.7	14129.4
200029_at	54603.3	51349.9	40723.9	52072	60576	61935.1	61043.9	70289.9	58783.7	54466.4	55864.5	57298.1	38005.3	52465.1	50747.5	48195.2
200030_s_at	17897.9	19782.3	8062.8	13448.4	19311.5	15023.9	12006.2	15130.8	22121.8	17033.1	12049.2	17461.8	10585.4	15524.1	11686.2	12345.2
200031_s_at	67108.6	65317.9	63173.4	66965.3	79790.2	75666.8	80982.2	89680.7	82390.8	65991.5	71826.4	92788.9	48097.5	64925.3	60042.1	62483.5
200032_s_at	69872.7	76438.4	70568.6	67372.4	87460.7	100345.6	82107.5	100154.8	81537.3	91764.9	67871.5	95351.8	49348.7	61128.5	65913.3	74380.7
200033_at	35323	34489.9	35394.2	36312.1	33511.2	35151.4	36534	32053	32538.6	31705.6	32038.1	32545.8	28546.4	26652.5	29606.8	24532.1
200034_s_at	46648.4	44529.1	36856.6	42405.1	48229.1	41733.2	49611.7	54592.8	43705.8	29382.7	41810.9	47307.3	35038.6	41020.9	26055.5	28478.2
200035_at	1420	2316.1	1154.1	1828.4	1998.4	2083.4	1475.9	2051	1192.4	1815.7	1738.3	1608	1431.7	2338.6	2435.7	1981.3
200036_s_at	36691.5	34915.7	24714.2	35680	28691.7	32780.5	34866.4	34764.8	31830	25090.5	28648.5	42218.4	21412.4	33530.9	17466.7	19545.4
200037_s_at	7575.8	9548.8	13988.9	11737.5	7948.5	11806.6	14619.3	10900.3	6526.9	5118.2	11313.1	8538.4	11377.6	12647.3	8628.2	6948.5
200038_s_at	64855.6	58636.8	48841.2	57035.6	65529.9	58835	68103.3	62769.8	65091.4	52990.4	51680.5	74212.2	41838.2	49083.7	40407.2	44266.1
200039_s_at	1602.9	1899.5	1890.4	1507.1	2439.3	1686.4	1641.6	1862.1	1356.9	1624	2821.8	2144.7	2578.5	2539.9	1638.4	2351.5
200040_at	9534.4	8766.2	11011.4	9920.1	11116	9383.3	10533.3	10557.9	7341.7	4872.9	10012.7	9024.5	10030.3	9509.3	8952	6673.1
200041_s_at	9709.7	14027.2	8752.6	10447	13836.7	12667.7	11864.7	12436.8	10757.8	16100	8667	11127.4	9778.1	11440.3	15213.4	13622.5
200042_at	1594.1	1854.1	2140.6	2406.9	2357	2021.4	1673.9	2269	2322.8	1421.9	2529.4	2683.6	2169.7	2599.5	1886.1	3057.6
200043_at	12390.5	10709.3	19482.8	15805.3	10935.8	9833	14011.7	9285.5	12392.4	6402.1	16811.7	13251.1	19814.7	14051.4	10419.1	8711.4
200044_at	4649	7824	4282.4	5421.8	4787.8	4394.4	4496.4	4933.3	5287.4	3860.3	4953.1	4669.1	4630.7	4840.2	4330	3592.9
200045_at	2469.6	1921.9	1844.7	2738.3	3213.4	2214.5	1778	2172	3101.8	2525.9	2441.9	2210.5	1980.6	2253.1	2418.3	2624.7
200046_at	3323.4	5795.5	5009.5	8644.5	8086.3	9046.4	5517.7	6572.3	1622	2851.1	6178.1	7601.1	7436.4	7443.3	5078.1	4727.6
200047_s_at	7336.3	7654	8503.4	6852	5779.2	6256.6	6165.6	5400.7	10311.1	7991.4	7100.2	6402.2	9177.7	6900	7224.3	8015.7
200048_s_at	7384.4	7670.7	6178.6	9920.9	7722.1	8941	7376.9	6907.3	11877.8	10506.3	8626.9	10426.5	7476.2	7145.2	9163.7	9740.2
200049_at	1753.1	1160.7	1172.5	1054.7	1338.9	921.2	927.5	1146.9	1899.7	2194.7	1223.9	1715.8	1357.6	1322.9	1953.5	2314.9
200050_at	2564.2	4284.4	7082.2	4879.6	3760.7	3177.6	4048.9	4544.7	1530.7	855.6	5740	1720.5	5487.6	4849.2	2380.1	3104.8
200051_at	794.6	1009.9	495.9	568	987.7	670.3	659	880.3	1593.5	1212	702.2	1211.9	707.8	640.6	1039.1	895.2
200052_s_at	5366.8	3259.9	3420.4	3992.9	3705	2735.3	3037.9	2882.6	6713.6	5611	3835.6	4959.1	3754	4494.7	3742.9	3029.1
